#TEXT,TEXT
id,rewardGroup
#id,奖励列表：ItemType_ItemId_Count_(Stage_(Level))_Weight
1001,"0_0_0_700,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_11001_1_10"
1002,"0_0_0_700,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_11001_1_10"
1003,"0_0_0_420,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_11001_1_60"
1004,"0_0_0_350,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_11001_1_60"
1005,"0_0_0_700,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10005_1_62"
1006,"0_0_0_700,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10005_1_63"
1007,"0_0_0_700,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10005_1_64"
1008,"3_11001_1_110,0_0_0_400,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_120,3_10005_150,3_11001_2_30,3_10005_2_50"
1009,"3_11001_1_180,3_11001_2_20,3_10003_1_80,3_10013_1_80,3_10014_1_40,0_0_0_670"
1010,"3_11001_1_180,3_11001_2_20,3_10003_1_80,3_10013_1_80,3_10014_1_40,0_0_0_630"
1011,"3_11001_1_180,3_11001_2_20,3_10003_1_80,3_10013_1_80,3_10014_1_40,0_0_0_650"
1012,"3_11001_1_150,3_11001_2_150,3_10003_1_200,3_10013_1_80,3_10014_1_40,0_0_0_70"
1013,"3_11001_2_10,3_10003_1_200,3_10013_1_80,3_10014_1_40,0_0_0_600,3_10005_1_150"
1014,"3_11001_1_30,3_11001_2_10,3_10003_1_200,3_10013_1_80,3_10014_1_40,0_0_0_600,3_10005_1_150"
1015,"3_11001_1_30,3_11001_2_10,3_10003_1_200,3_10013_1_80,3_10014_1_40,0_0_0_600,3_10005_1_150"
1016,"3_11001_1_30,3_11001_2_10,3_10003_1_200,3_10013_1_80,3_10014_1_40,0_0_0_70,3_10005_1_550"
1017,"3_11001_1_110,0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40"
1018,"3_11002_2_20,0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_11001_2_120"
1019,"3_11001_1_110,0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_60"
1020,"3_11002_1_40,0_0_0_40,3_11001_1_180,3_10013_1_80,3_10014_1_70,3_10015_1_50,1_10003_1_200"
1021,"0_0_0_40,3_11001_1_180,3_10013_1_80,3_10014_1_70,3_10015_1_50,1_10003_1_200"
1022,"0_0_0_42,3_10013_1_80,3_10014_1_70,3_10015_1_50,1_10003_1_200"
1023,"0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_120,3_10005_125"
1024,"0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_120,3_10005_150"
1025,"3_11001_1_110,0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40"
1026,"3_11002_2_20,0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_11001_2_120"
1027,"3_11001_1_110,0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_60"
1028,"3_11002_1_40,0_0_0_40,3_11001_1_180,3_10013_1_80,3_10014_1_70,3_10015_1_50,1_10003_1_200"
1029,"0_0_0_40,3_11001_1_180,3_10013_1_80,3_10014_1_70,3_10015_1_50,1_10003_1_200"
1030,"0_0_0_42,3_10013_1_80,3_10014_1_70,3_10015_1_50,1_10003_1_200"
1031,"0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_120,3_10005_125"
1032,"0_0_0_70,3_10013_1_80,3_10014_1_70,3_10015_1_40,3_10003_1_120,3_10005_150"
1101,"3_10016_1_20,0_0_0_60,3_10013_1_80,3_10014_1_70,3_10015_1_40"
1102,"3_10016_1_40,0_0_0_60,3_10013_1_80,3_10014_1_70,3_10015_1_300"
1103,"3_10016_1_40,0_0_0_60,3_10013_1_80,3_10014_1_70,3_10015_1_200"
1104,"3_10016_1_40,0_0_0_10,3_10013_1_80,3_10014_1_70,3_10015_1_50,3_20002_1_60"
1105,"3_10017_1_40,0_0_0_60,3_10013_1_80,3_10014_1_70,3_10015_1_50"
1106,"3_10017_1_40,0_0_0_60,3_10013_1_80,3_10014_1_70,3_10015_1_50"
1107,"3_10017_1_40,0_0_0_60,3_10013_1_80,3_10014_1_70,3_10015_1_50"
1108,"3_10017_1_40,0_0_0_100,3_10013_1_80,3_10014_1_70,3_10015_1_50,3_20005_1_60"
1109,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1110,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1111,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1112,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20012_1_60"
1113,"3_10017_1_60,0_0_0_103_10013_1_80,3_10014_1_80,3_10015_1_80"
1114,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1115,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1116,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20004_1_60"
