#TEXT,TEXT,TEXT,TEXT,NUM,TEXT,TEXT,TEXT,TEXT
id,preStartEvent,startEvent,endStartEvent,appearType,winFunc,loseFunc,endEvent,monsterList
#对局id,第一进程前事件,开场动画,刷怪完毕事件,出现方式,胜利条件,失败条件,结束剧情动画,怪物列表
pvp_test1,,,,0,,,,"{""bossdajie12Mantuoluo2"":""1""}"
dajie11Level1,,,,0,,,,"{""xgMoguguai3"":""4""}"
dajie11Level2,,,,0,,,,"{""xgKairuisi4"":""2""}"
dajie11Boss1,,,,0,,,,"{""bossdajie11Moguguai4"":""1""}"
dajie12Level1,,,,0,,,,"{""xgKairuisi4"":""4""}"
dajie12Level2,,,,0,,,,"{""xgHetong2"":""2""}"
dajie12Boss1,,,,0,,,,"{""bossdajie12Mantuoluo2"":""1""}"
dajie13Level1,,,,0,,,,"{""xgWagui3"":""4""}"
dajie13Level2,,,,0,,,,"{""xgMoguguai4"":""2""}"
dajie13Boss1,,,,0,,,,"{""bossdajie13Cike4"":""1""}"
dajie14Level1,,,,0,,,,"{""xgMoguguai4"":""4""}"
dajie14Level2,,,,0,,,,"{""xgHetong2"":""2""}"
dajie14Boss1,,,,0,,,,"{""bossdajie14Piying5"":""1""}"
dajie15Level1,,,,0,,,,"{""xgWagui3"":""4""}"
dajie15Level2,,,,0,,,,"{""xgCike4"":""2""}"
dajie15Boss1,,,,0,,,,"{""bossdajie15Langren3"":""1""}"
dajie16Level1,,,,0,,,,"{""xgHuapo2"":""4""}"
dajie16Level2,,,,0,,,,"{""xgPanshen2"":""2""}"
dajie16Boss1,,,,0,,,,"{""bossdajie16Zouyincao2"":""1""}"
dajie17Level1,,,,0,,,,"{""xgMoguguai3"":""4""}"
dajie17Level2,,,,0,,,,"{""xgWushi3"":""2""}"
dajie17Boss1,,,,0,,,,"{""bossdajie17Huapo2"":""1""}"
dajie18Level1,,,,0,,,,"{""xgWushi4"":""4""}"
dajie18Level2,,,,0,,,,"{""xgHuapo2"":""2""}"
dajie18Boss1,,,,0,,,,"{""bossdajie18Ladong5"":""1""}"
xiaoxiang11Level1,,,,0,,,,"{""xgXiyiren4"":""4""}"
xiaoxiang11Level2,,,,0,,,,"{""xgMantuoluo2"":""2""}"
xiaoxiang11Boss1,,,,0,,,,"{""bossxiaoxiang21Wushi4"":""1""}"
xiaoxiang12Level1,,,,0,,,,"{""xgHetong3"":""4""}"
xiaoxiang12Level2,,,,0,,,,"{""xgXiaochou4"":""2""}"
xiaoxiang12Boss1,,,,0,,,,"{""bossxiaoxiang22Xiyiren2"":""1""}"
xiaoxiang13Level1,,,,0,,,,"{""xgHuapo2"":""4""}"
xiaoxiang13Level2,,,,0,,,,"{""xgCike4"":""2""}"
xiaoxiang13Boss1,,,,0,,,,"{""bossxiaoxiang23Panshen2"":""1""}"
xiaoxiang14Level1,,,,0,,,,"{""xgWushi3"":""4""}"
xiaoxiang14Level2,,,,0,,,,"{""xgLonggongtongzi3"":""2""}"
xiaoxiang14Boss1,,,,0,,,,"{""bossxiaoxiang24Shuigui3"":""1""}"
xiaoxiang15Level1,,,,0,,,,"{""xgXiyiren2"":""4""}"
xiaoxiang15Level2,,,,0,,,,"{""xgPanshen2"":""2""}"
xiaoxiang15Boss1,,,,0,,,,"{""bossxiaoxiang25Kairuisi5"":""1""}"
xiaoxiang16Level1,,,,0,,,,"{""xgLangren5"":""4""}"
xiaoxiang16Level2,,,,0,,,,"{""xgShuigui3"":""2""}"
xiaoxiang16Boss1,,,,0,,,,"{""bossxiaoxiang26Longgongtongzi3"":""1""}"
xiaoxiang17Level1,,,,0,,,,"{""xgNvyao5"":""4""}"
xiaoxiang17Level2,,,,0,,,,"{""xgHapi1"":""2""}"
xiaoxiang17Boss1,,,,0,,,,"{""bossxiaoxiang27Hetong2"":""1""}"
xiaoxiang18Level1,,,,0,,,,"{""xgKairuisi5"":""4""}"
xiaoxiang18Level2,,,,0,,,,"{""xgSaibulesi5"":""2""}"
xiaoxiang18Boss1,,,,0,,,,"{""bossxiaoxiang28Muling2"":""1""}"
senlin11Level1,,,,0,,,,"{""xgHuapo2"":""4""}"
senlin11Level2,,,,0,,,,"{""xgMantuoluo2"":""2""}"
senlin11Boss1,,,,0,,,,"{""bosssenlin31Wendige2"":""1""}"
senlin12Level1,,,,0,,,,"{""xgHetong2"":""4""}"
senlin12Level2,,,,0,,,,"{""xgLonggongtongzi3"":""2""}"
senlin12Boss1,,,,0,,,,"{""bosssenlin32Longnv3"":""1""}"
senlin13Level1,,,,0,,,,"{""xgWendige2"":""4""}"
senlin13Level2,,,,0,,,,"{""xgXiyiren2"":""2""}"
senlin13Boss1,,,,0,,,,"{""bosssenlin33Luoxinfu5"":""1""}"
senlin14Level1,,,,0,,,,"{""xgWendige3"":""4""}"
senlin14Level2,,,,0,,,,"{""xgShuigui3"":""2""}"
senlin14Boss1,,,,0,,,,"{""bosssenlin34Amute3"":""1""}"
senlin15Level1,,,,0,,,,"{""xgSaibulesi5"":""4""}"
senlin15Level2,,,,0,,,,"{""xgMantuoluo2"":""2""}"
senlin15Boss1,,,,0,,,,"{""bosssenlin35Xiaochou2"":""1""}"
senlin16Level1,,,,0,,,,"{""xgPanshen2"":""4""}"
senlin16Level2,,,,0,,,,"{""xgLongnv3"":""2""}"
senlin16Boss1,,,,0,,,,"{""bosssenlin36Momo1"":""1""}"
senlin17Level1,,,,0,,,,"{""xgLuoxinfu5"":""4""}"
senlin17Level2,,,,0,,,,"{""xgMomo1"":""2""}"
senlin17Boss1,,,,0,,,,"{""bosssenlin37Hapi1"":""1""}"
senlin18Level1,,,,0,,,,"{""xgXiaochou2"":""4""}"
senlin18Level2,,,,0,,,,"{""xgAmute3"":""2""}"
senlin18Boss1,,,,0,,,,"{""bosssenlin38Meidusha2"":""1""}"
huoshan11Level1,,,,0,,,,"{""xgMoguguai4"":""4""}"
huoshan11Level2,,,,0,,,,"{""xgCike4"":""2""}"
huoshan11Boss1,,,,0,,,,"{""bosshuoshan41Hongniu4"":""1""}"
huoshan12Level1,,,,0,,,,"{""xgXiyiren4"":""4""}"
huoshan12Level2,,,,0,,,,"{""xgWushi4"":""2""}"
huoshan12Boss1,,,,0,,,,"{""bosshuoshan42Daochengsizhong4"":""1""}"
huoshan13Level1,,,,0,,,,"{""xgKairuisi4"":""4""}"
huoshan13Level2,,,,0,,,,"{""xgLuoxinfu5"":""2""}"
huoshan13Boss1,,,,0,,,,"{""bosshuoshan43Huoniao4"":""1""}"
huoshan14Level1,,,,0,,,,"{""xgDaochengsizhong4"":""4""}"
huoshan14Level2,,,,0,,,,"{""xgMomo1"":""2""}"
huoshan14Boss1,,,,0,,,,"{""bosshuoshan44Datiangou4"":""1""}"
huoshan15Level1,,,,0,,,,"{""xgSaibulesi5"":""4""}"
huoshan15Level2,,,,0,,,,"{""xgHongniu4"":""2""}"
huoshan15Boss1,,,,0,,,,"{""bosshuoshan45Saibulesi4"":""1""}"
huoshan16Level1,,,,0,,,,"{""xgHuoniao4"":""4""}"
