#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
speak_001,兔桑，兔桑，你干啥呐？,兔桑，兔桑，what are you doing now？
speak_002,没干啥，你又要干啥？,Nothing？
speak_003,没事哈，我这有好吃的，我问问你吃不吃/(ㄒoㄒ)/~~,Has the operation finished?/(ㄒoㄒ)/~~
speak_004,吃啊，当然吃，哪有我不吃的！,What's the operation's progress！
speak_005,吃了我的东西就要给我干活！！！啊哈哈,Has the operation finished?
miaoshu_jiuwei1,九尾狐萌萌哒的尾巴1,The fox with nine tails 1
miaoshu_jiuwei2,九尾狐萌萌哒的尾巴2,The fox with nine tails 2
miaoshu_jiuwei3,九尾狐萌萌哒的尾巴3,The fox with nine tails 3
miaoshu_jiuwei4,九尾狐萌萌哒的尾巴4,The fox with nine tails 4
miaoshu_jiuwei5,九尾狐萌萌哒的尾巴5,The fox with nine tails 5
miaoshu_jiuwei6,九尾狐萌萌哒的尾巴6,The fox with nine tails 6
miaoshu_jiuwei7,九尾狐萌萌哒的尾巴7,The fox with nine tails 7
miaoshu_jiuwei8,九尾狐萌萌哒的尾巴8,The fox with nine tails 8
miaoshu_jiuwei9,九尾狐萌萌哒的尾巴9,The fox with nine tails 9
miaoshu_jiuwei10,九尾狐萌萌哒的尾巴10,The fox with nine tails 10
miaoshu_ershu,我是耳鼠思密达,wo is Ear Mouse
miaoshu_zhuyan,我是朱燕思密达,wo is Zhu Yan
miaoshu_qingniao,我是青鸟思密达,wo is Qing Bird
miaoshu_karong1,似乎被什么东西控制了,Find out what is controlling her!
miaoshu_karong2,脉动的韵文，释放出强大的魔力,Flowing verses release powerful magic.
miaoshu_karong4,外装甲看起来不那么结实,This doesn't seem to be that tough.
miaoshu_karong5,外装甲看起来不那么结实,This doesn't seem to be that tough.
miaoshu_meidushawp01,自认为美艳的美杜莎会对没有头发感到愤怒！,Medusa will be upset without hair.
miaoshu_meidushawp02,会对物理攻击进行压制,Suppresses Phy ATK.
miaoshu_meidushawp03,会对法术攻击进行压制,Suppresses Magic ATK.
Lizardman,蜥蜴人,Lizardman
Flower Spirit,花魄,Flower Spirit
Pans,潘神,Pans
Mandrake,曼陀罗,Mandrake
Ammut,阿穆特,Ammut
Phantom Frog,蛙鬼,Phantom Frog
Kappa,河童,Kappa
Water Tyke,龙宫童子,Water Tyke
Werewolf,狼人,Werewolf
Empusae,安普莎,Empusae
Keres,凯瑞斯,Keres
Nephila,络新妇,Nephila
Momo,Momo,Momo
Harpy,哈皮,Harpy
Melody Bulb,Melody Bulb,Melody Bulb
Medusa,美杜莎,Medusa
Charon,卡戎,Charon
Moon Forest - 1,月光森林 - 1,Moon Forest - 1
Moon Forest - 2,月光森林 - 2,Moon Forest - 2
Moon Forest - 4,月光森林 - 4,Moon Forest - 4
Moon Forest - 7,月光森林 - 7,Moon Forest - 7
Moon Forest - 8,月光森林 - 8,Moon Forest - 8
Nether River - 2,冥河 - 2,Nether River - 2
Nether River - 3,冥河 - 3,Nether River - 3
Nether River - 4,冥河 - 4,Nether River - 4
Nether River - 7,冥河 - 7,Nether River - 7
Nether River - 8,冥河 - 8,Nether River - 8
attackCutSlightTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackCutMediumTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackCutStrongTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackCutTriSlightTips,给单体目标造成3次{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage 3 times to a single target
attackCutTriMediumTips,给单体目标造成3次{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage 3 times to a single target
attackCutTriStrongTips,给单体目标造成3次{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage 3 times to a single target
attackStabSlightTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackStabMediumTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackStabStrongTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackStabTriSlightTips,给单体目标造成3次{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage 3 times to a single target
attackStabTriMediumTips,给单体目标造成3次{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage 3 times to a single target
attackStabTriStrongTips,给单体目标造成3次{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage 3 times to a single target
attackSmashSlightTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackSmashMediumTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
attackSmashStrongTips,给单体目标造成{0}%物攻的物理伤害,Deals ({0}% of physical ATK) physical damage to a single target
magicMetalSlightTips,给单体目标造成{0}%法攻的光属性伤害,Deals ({0}% of magic ATK) light type magic damage to a single target
magicMetalMediumTips,给单体目标造成{0}%法攻的光属性伤害,Deals ({0}% of magic ATK) light type magic damage to a single target
magicMetalStrongTips,给单体目标造成{0}%法攻的光属性伤害,Deals ({0}% of magic ATK) light type magic damage to a single target
magicPlantSlightTips,给单体目标造成{0}%法攻的木属性伤害,Deals ({0}% of magic ATK) grass type magic damage to a single target
magicPlantMediumTips,给单体目标造成{0}%法攻的木属性伤害,Deals ({0}% of magic ATK) grass type magic damage to a single target
magicPlantStrongTips,给单体目标造成{0}%法攻的木属性伤害,Deals ({0}% of magic ATK) grass type magic damage to a single target
magicWaterSlightTips,给单体目标造成{0}%法攻的水属性伤害,Deals ({0}% of magic ATK) water type magic damage to a single target
magicWaterMediumTips,给单体目标造成{0}%法攻的水属性伤害,Deals ({0}% of magic ATK) water type magic damage to a single target
magicWaterStrongTips,给单体目标造成{0}%法攻的水属性伤害,Deals ({0}% of magic ATK) water type magic damage to a single target
magicFireSlightTips,给单体目标造成{0}%法攻的火属性伤害,Deals ({0}% of magic ATK) fire type magic damage to a single target
magicFireMediumTips,给单体目标造成{0}%法攻的火属性伤害,Deals ({0}% of magic ATK) fire type magic damage to a single target
magicFireStrongTips,给单体目标造成{0}%法攻的火属性伤害,Deals ({0}% of magic ATK) fire type magic damage to a single target
magicEarthSlightTips,给单体目标造成{0}%法攻的暗属性伤害,Deals ({0}% of magic ATK) dark type magic damage to a single target
magicEarthMediumTips,给单体目标造成{0}%法攻的暗属性伤害,Deals ({0}% of magic ATK) dark type magic damage to a single target
magicEarthStrongTips,给单体目标造成{0}%法攻的暗属性伤害,Deals ({0}% of magic ATK) dark type magic damage to a single target
magicCureSlightTips,给单体目标回复{0}%法攻的生命值,Recovers ({0}% of magic ATK) HP for a single target
magicCureMediumTips,给单体目标回复{0}%法攻的生命值,Recovers ({0}% of magic ATK) HP for a single target
magicCureStrongTips,给单体目标回复{0}%法攻的生命值,Recovers ({0}% of magic ATK) HP for a single target
buffSpeedTips,使单体目标速度提升10%，持续3回合,Increases speed of a single target by 10% for 3 turns
buffSpeedSelfTips,使自身速度提升10%，持续3回合,Increases your speed by 10% for 3 turns
buffMagicTips,使单体目标智力提升10%，持续3回合,Increases intelligence of a single target by 10% for 3 turns
buffMagicSelfTips,使自身智力提升10%，持续3回合,Increases your intelligence by 10% for 3 turns
buffAttackTips,使单体目标力量提升10%，持续3回合,Increases strength of a single target by 10% for 3 turns
buffAttackSelfTips,使自身力量提升10%，持续3回合,Increases your strength by 10% for 3 turns
buffDefenseTips,使单体目标防御力提升10%，持续3回合,Increases defense of a single target by 10% for 3 turns
buffDefenseSelfTips,使自身防御力提升10%，持续3回合,Increases your defense by 10% for 3 turns
buffHotTips,使单体目标每回合回复40%法攻的生命值，持续3回合,Recovers (40% of magic ATK) HP for a single target each turn for 3 turns
debuffDefenseTips,使单体目标防御力降低10%，持续3回合,Reduces defense of a single target by 10% for 3 turns
debuffAttackTips,使单体目标力量降低10%，持续3回合,Reduces strength of a single target by 10% for 3 turns
debuffMagicTips,使单体目标智力降低10%，持续3回合,Reduces intelligence of a single target by 10% for 3 turns
debuffSpeedTips,使单体目标速度降低10%，持续3回合,Reduces speed of a single target by 10% for 3 turns
debuffDotSlightTips,"给单体目标每回合造成{0}%物攻的物理伤害,持续3回合",Deals ({0}% of physical ATK) physical damage to a single target each turn for 3 turns
debuffDotMediumTips,"给单体目标每回合造成{0}%物攻的物理伤害,持续3回合",Deals ({0}% of physical ATK) physical damage to a single target each turn for 3 turns
debuffDotStrongTips,"给单体目标每回合造成{0}%物攻的物理伤害,持续3回合",Deals ({0}% of physical ATK) physical damage to a single target each turn for 3 turns
debuffFireDotSlightTips,"给单体目标每回合造成{0}%法攻的火属性伤害,持续3回合",Deals ({0}% of magic ATK) fire type damage to a single target each turn for 3 turns
debuffFireDotMediumTips,"给单体目标每回合造成{0}%法攻的火属性伤害,持续3回合",Deals ({0}% of magic ATK) fire type damage to a single target each turn for 3 turns
debuffFireDotStrongTips,"给单体目标每回合造成{0}%法攻的火属性伤害,持续3回合",Deals ({0}% of magic ATK) fire type damage to a single target each turn for 3 turns
debuffWaterDotSlightTips,"给单体目标每回合造成{0}%法攻的水属性伤害,持续3回合",Deals ({0}% of magic ATK) water type damage to a single target each turn for 3 turns
debuffWateDotMediumTips,"给单体目标每回合造成{0}%法攻的水属性伤害,持续3回合",Deals ({0}% of magic ATK) water type damage to a single target each turn for 3 turns
debuffWateDotStrongTips,"给单体目标每回合造成{0}%法攻的水属性伤害,持续3回合",Deals ({0}% of magic ATK) water type damage to a single target each turn for 3 turns
debuffPlantDotSlightTips,"给单体目标每回合造成{0}%法攻的木属性伤害,持续3回合",Deals ({0}% of magic ATK) grass type damage to a single target each turn for 3 turns
debuffPlantDotMediumTips,"给单体目标每回合造成{0}%法攻的木属性伤害,持续3回合",Deals ({0}% of magic ATK) grass type damage to a single target each turn for 3 turns
debuffPlantDotStrongTips,"给单体目标每回合造成{0}%法攻的木属性伤害,持续3回合",Deals ({0}% of magic ATK) grass type damage to a single target each turn for 3 turns
