#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
pet_character_1,物理输出,PHYS ATK
pet_character_2,法术输出,MAGIC ATK
pet_character_3,减益支援,Harmful
pet_character_4,增益支援,Beneficial
pet_character_5,治疗,Healer
pet_character_6,肉盾,Tank
Valor,输出,Attack
Spiritual,输出,Attack
Mischievous,减益支援,Harmful
Collaborate,增益支援,Beneficial
Compassion,治疗,Healer
Humility,肉盾,Tank
descrip_valor,善于使用物理攻击的英勇战士,Brave attacker mainly using attack skills
descrip_spiritual,善于运用魔法能量的智慧学者,Intellectual attacker using magical power
descrip_mischievous,善于给敌方添加减益效果的调皮支援,Mischievous by adding debuff to enemies
descrip_collaborate,善于给己方添加增益效果的强力辅助,Support your team with a beneficial buffs
descrip_compassion,善于恢复己方血量的善良祭祀,Compassionate in healing your team most of the time
descrip_humility,善于吸引敌方伤害保护队友的坚毅肉盾,Attracts enemies' damages and defend your team
miaoshu_bossamute01,面具下隐藏着弱点,Find what underlies the mask.
amutehide_lian,猜猜我在哪,Find me
amutehide_mianju,猜猜我在哪,Find me
amutenormal1_lian,弱点,Weakness
amutenormal1_shenti,本体,Default
amutenormal1_mianju,保护弱点,Protect Weakness
wpName24,脸,Face
wpName25,胸,Body
wpName26,面具,Mask
wpName33,胸,Body
wpName34,头,Head
wpName35,胸,Body
wpName36,根部,Root
wpName37,胸,Body
wpName38,左腕带,Left Cuff
wpName39,右腕带,Right Cuff
wpName40,胸,Body
wpName41,右半身,Right Body
wpName42,左半身,Left Body
wpName43,头,Head
wpName44,胸,Body
wpName45,花瓣,Flower
wpName46,胸,Body
wpName47,锤子,Weapon
wpName48,胸,Body
wpName49,喇叭,Trumpet
wpName50,胸,Body
wpName51,角,Horn
wpName52,球,Ball
wpName53,胸,Body
wpName54,手,Hand
wpName55,爪,Weapon
wpName56,胸,Body
wpName57,玫瑰,Rose
wpName58,胸,Body
wpName59,宝箱,Box
wpName60,右脚,Right Leg
wpName61,乌鸦,Bird
wpName62,胸,Body
wpName63,头,Head
wpName64,镰刀,Weapon
wpName65,胸,Body
wpName66,头,Head
wpName67,球,Ball
wpName68,胸,Body
wpName69,头顶,Skull
wpName70,围巾,Scarf
xiaochou4hide_head,猜猜我在哪,Find me
mantuoluo2hide_root,猜猜我在哪,Find me
