#TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,TEXT,NUM,NUM,TEXT,TEXT,TEXT,TEXT
id,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust,icon,name,tips,baseTipValue,isAoe,firstSpell,tipsDescription,tipsCurlvl,tipsNextlvl
#id,rootEffectID,????????,???????,energyCost,energyGenerate,category,levelAdjust,???,name,tips,1???tips??????,?ж???????,???ü???,tipsDescription,tipsCurlvl,tipsNextlvl
lazy,,0,0,0,0,7,0,,,,0,0,,,,
defend,defende1,0,0,0,50,3,0,,defendName,,0,0,,,,
attackMetalCutSlight,attackMetalCutSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalCutSlightName,attackMetalCutSlightTips,1.3,0,,attackMetalCutSlightDescription,attackMetalCutSlightCurlvl,attackMetalCutSlightNextlvl
attackMetalCutMedium,attackMetalCutMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalCutMediumName,attackMetalCutMediumTips,1.5,0,,attackMetalCutMediumDescription,attackMetalCutMediumCurlvl,attackMetalCutMediumNextlvl
attackMetalCutStrong,attackMetalCutStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalCutStrongName,attackMetalCutStrongTips,1.8,0,,attackMetalCutStrongDescription,attackMetalCutStrongCurlvl,attackMetalCutStrongNextlvl
attackPlantCutSlight,attackPlantCutSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantCutSlightName,attackPlantCutSlightTips,1.3,0,,attackPlantCutSlightDescription,attackPlantCutSlightCurlvl,attackPlantCutSlightNextlvl
attackPlantCutMedium,attackPlantCutMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantCutMediumName,attackPlantCutMediumTips,1.5,0,,attackPlantCutMediumDescription,attackPlantCutMediumCurlvl,attackPlantCutMediumNextlvl
attackPlantCutStrong,attackPlantCutStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantCutStrongName,attackPlantCutStrongTips,1.8,0,,attackPlantCutStrongDescription,attackPlantCutStrongCurlvl,attackPlantCutStrongNextlvl
attackWaterCutSlight,attackWaterCutSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterCutSlightName,attackWaterCutSlightTips,1.3,0,,attackWaterCutSlightDescription,attackWaterCutSlightCurlvl,attackWaterCutSlightNextlvl
attackWaterCutMedium,attackWaterCutMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterCutMediumName,attackWaterCutMediumTips,1.5,0,,attackWaterCutMediumDescription,attackWaterCutMediumCurlvl,attackWaterCutMediumNextlvl
attackWaterCutStrong,attackWaterCutStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterCutStrongName,attackWaterCutStrongTips,1.8,0,,attackWaterCutStrongDescription,attackWaterCutStrongCurlvl,attackWaterCutStrongNextlvl
attackFireCutSlight,attackFireCutSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireCutSlightName,attackFireCutSlightTips,1.3,0,,attackFireCutSlightDescription,attackFireCutSlightCurlvl,attackFireCutSlightNextlvl
attackFireCutMedium,attackFireCutMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireCutMediumName,attackFireCutMediumTips,1.5,0,,attackFireCutMediumDescription,attackFireCutMediumCurlvl,attackFireCutMediumNextlvl
attackFireCutStrong,attackFireCutStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireCutStrongName,attackFireCutStrongTips,1.8,0,,attackFireCutStrongDescription,attackFireCutStrongCurlvl,attackFireCutStrongNextlvl
attackEarthCutSlight,attackEarthCutSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthCutSlightName,attackEarthCutSlightTips,1.3,0,,attackEarthCutSlightDescription,attackEarthCutSlightCurlvl,attackEarthCutSlightNextlvl
attackEarthCutMedium,attackEarthCutMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthCutMediumName,attackEarthCutMediumTips,1.5,0,,attackEarthCutMediumDescription,attackEarthCutMediumCurlvl,attackEarthCutMediumNextlvl
attackEarthCutStrong,attackEarthCutStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthCutStrongName,attackEarthCutStrongTips,1.8,0,,attackEarthCutStrongDescription,attackEarthCutStrongCurlvl,attackEarthCutStrongNextlvl
attackMetalStabSlight,attackMetalStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalStabSlightName,attackMetalStabSlightTips,1.3,0,,attackMetalStabSlightDescription,attackMetalStabSlightCurlvl,attackMetalStabSlightNextlvl
attackMetalStabMedium,attackMetalStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalStabMediumName,attackMetalStabMediumTips,1.5,0,,attackMetalStabMediumDescription,attackMetalStabMediumCurlvl,attackMetalStabMediumNextlvl
attackMetalStabStrong,attackMetalStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalStabStrongName,attackMetalStabStrongTips,1.8,0,,attackMetalStabStrongDescription,attackMetalStabStrongCurlvl,attackMetalStabStrongNextlvl
attackPlantStabSlight,attackPlantStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantStabSlightName,attackPlantStabSlightTips,1.3,0,,attackPlantStabSlightDescription,attackPlantStabSlightCurlvl,attackPlantStabSlightNextlvl
attackPlantStabMedium,attackPlantStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantStabMediumName,attackPlantStabMediumTips,1.5,0,,attackPlantStabMediumDescription,attackPlantStabMediumCurlvl,attackPlantStabMediumNextlvl
attackPlantStabStrong,attackPlantStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantStabStrongName,attackPlantStabStrongTips,1.8,0,,attackPlantStabStrongDescription,attackPlantStabStrongCurlvl,attackPlantStabStrongNextlvl
attackWaterStabSlight,attackWaterStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterStabSlightName,attackWaterStabSlightTips,1.3,0,,attackWaterStabSlightDescription,attackWaterStabSlightCurlvl,attackWaterStabSlightNextlvl
attackWaterStabMedium,attackWaterStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterStabMediumName,attackWaterStabMediumTips,1.5,0,,attackWaterStabMediumDescription,attackWaterStabMediumCurlvl,attackWaterStabMediumNextlvl
attackWaterStabStrong,attackWaterStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterStabStrongName,attackWaterStabStrongTips,1.8,0,,attackWaterStabStrongDescription,attackWaterStabStrongCurlvl,attackWaterStabStrongNextlvl
attackFireStabSlight,attackFireStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireStabSlightName,attackFireStabSlightTips,1.3,0,,attackFireStabSlightDescription,attackFireStabSlightCurlvl,attackFireStabSlightNextlvl
attackFireStabMedium,attackFireStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireStabMediumName,attackFireStabMediumTips,1.5,0,,attackFireStabMediumDescription,attackFireStabMediumCurlvl,attackFireStabMediumNextlvl
