#NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,TEXT,NUM,NUM,NUM,NUM,NUM,NUM
id,comments,name,title,desc,image,pointIcon,level,recharge,offlineDay,timeBegin,timeEnd,relativeTimeBegin,duration,retained
#页签id,注释,名称,标题,描述,底图,货币图标,等级,充值段,离线天数,开始时间id,结束时间id,相对开服开始时间,持续秒数,结束后是否保留数据(1=保留，0=清除)
102,累计登录,gift_name_102,gift_name_102,gift_desc_102,,,1,0_9999999,0,-1,-1,9,3600,0
103,连续登录,gift_name_103,gift_name_103,gift_desc_103,,,1,0_9999999,0,401,402,-1,-1,0
104,冲级,gift_name_104,gift_name_104,gift_desc_104,,,1,0_9999999,0,401,402,-1,-1,1
105,开服有礼,gift_name_105,gift_name_105,gift_desc_105,,,1,0_9999999,0,401,402,-1,-1,0
106,先行者礼包,gift_name_106,gift_name_106,gift_desc_106,libao_tianshizhang,icon_tianxingzhesuipian,20,0_9999999,0,401,402,-1,-1,0
110,累计登录,gift_name_110,gift_name_110,gift_desc_110,facebook_xuenv,,1,0_9999999,0,401,402,-1,-1,0
111,连续登录,gift_name_111,gift_name_111,gift_desc_111,,,1,0_9999999,0,401,402,-1,-1,0
112,冲级,gift_name_112,gift_name_112,gift_desc_112,,,1,0_9999999,0,401,402,-1,-1,0
113,开服奖励,gift_name_113,gift_name_113,gift_desc_113,,,1,0_9999999,0,401,402,-1,-1,0
114,每日充值,gift_name_114,gift_name_114,gift_desc_114,,,1,0_9999999,0,401,402,-1,-1,0
115,累计充值,gift_name_115,gift_name_115,gift_desc_115,,,1,0_9999999,0,401,402,-1,-1,0
116,竞技场活动,gift_name_116,gift_name_116,gift_desc_116,libao_tianshizhang,icon_jingjichangjifen,12,0_9999999,0,401,402,-1,-1,0
117,通天塔活动,gift_name_117,gift_name_117,gift_desc_117,libao_tianshizhang,icon_tongtiantajifen,18,0_9999999,0,401,402,-1,-1,0
118,公会活动,gift_name_118,gift_name_118,gift_desc_118,libao_tianshizhang,icon_gonghuijifen,20,0_9999999,0,401,402,-1,-1,0
119,大冒险活动,gift_name_119,gift_name_119,gift_desc_119,,,22,0_9999999,0,401,402,-1,-1,0
120,钻石抽奖活动,gift_name_120,gift_name_120,gift_desc_120,,,1,0_9999999,0,401,402,-1,-1,0
201,累计登录1,gift_name_110,gift_name_110,gift_desc_110,facebook_xuenv,,1,0_9999999,0,409,414,-1,-1,0
202,累计登录2,gift_name_110,gift_name_110,gift_desc_110,facebook_xuenv,,1,0_9999999,0,401,402,-1,-1,0
203,冲级,gift_name_112,gift_name_112,gift_desc_112,,,1,0_9999999,0,409,414,-1,-1,0
204,每日充值1,gift_name_114,gift_name_114,gift_desc_114,,,1,0_9999999,0,409,414,-1,-1,0
205,每日充值2,gift_name_114,gift_name_114,gift_desc_114,,,1,0_9999999,0,401,402,-1,-1,0
206,每日充值3,gift_name_114,gift_name_114,gift_desc_114,,,1,0_9999999,0,401,402,-1,-1,0
207,每日充值4,gift_name_114,gift_name_114,gift_desc_114,,,1,0_9999999,0,401,402,-1,-1,0
208,累计充值1,gift_name_115,gift_name_115,gift_desc_115,,,1,0_9999999,0,409,414,-1,-1,0
209,累计充值2,gift_name_115,gift_name_115,gift_desc_115,,,1,0_9999999,0,401,402,-1,-1,0
210,累计充值3,gift_name_115,gift_name_115,gift_desc_115,,,1,0_9999999,0,401,402,-1,-1,0
211,累计充值4,gift_name_115,gift_name_115,gift_desc_115,,,1,0_9999999,0,401,402,-1,-1,0
212,竞技场活动,gift_name_116,gift_name_116,gift_desc_116,libao_tianshizhang,icon_jingjichangjifen,12,0_9999999,0,409,414,-1,-1,0
213,通天塔活动,gift_name_117,gift_name_117,gift_desc_117,libao_tianshizhang,icon_tongtiantajifen,18,0_9999999,0,409,414,-1,-1,0
214,公会活动,gift_name_118,gift_name_118,gift_desc_118,libao_tianshizhang,icon_gonghuijifen,20,0_9999999,0,409,414,-1,-1,0
215,大冒险活动,gift_name_119,gift_name_119,gift_desc_119,,,22,0_9999999,0,409,414,-1,-1,0
216,钻石抽奖活动,gift_name_120,gift_name_120,gift_desc_120,,,1,0_9999999,0,409,414,-1,-1,0
217,综合活动,gift_name_120,gift_name_120,gift_desc_120,,,15,0_9999999,0,401,402,-1,-1,0
