#TEXT,TEXT,NUM,NUM,NUM
id,image,gold,gift,extra
#产品Id,商品图标,钻石数量,首冲倍数,额外赠送
com.diandian.undergroundguardian.diamond_1,chongzhi_zuanshi1,120,1,0
com.diandian.undergroundguardian.diamond_5,chongzhi_zuanshi2,600,1,30
com.diandian.undergroundguardian.diamond_10,chongzhi_zuanshi3,1200,1,100
com.diandian.undergroundguardian.diamond_25,chongzhi_zuanshi4,3000,1,500
com.diandian.undergroundguardian.diamond_50,chongzhi_zuanshi5,6000,1,1500
com.diandian.undergroundguardian.diamond_100,chongzhi_zuanshi6,12000,1,4000
com.diandian.undergroundguardian.giftspecial.0.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.1.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.2.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.4.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.9.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.14.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.24.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.49.99,,0,0,0
com.diandian.undergroundguardian.giftspecial.99.99,,0,0,0
